id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,bathrooms_text,price,minimum_nights,maximum_nights,instant_bookable,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities
43547536,https://www.airbnb.com/rooms/43547536,New Modern 4BDR Oasis Near Domain & Q2 & Downtown,"Featuring a beautiful, BRAND NEW modern glam 4 bedroom home near the Domain and Downtown Austin.  Home is 7.7 miles to downtown, 4.7 to the domain, and 11 miles to the airport.  <br /><br />This exciting spot is near IH-35 and only minutes from major tourist attractions including the new MLS soccer stadium. <br /><br />Three bedrooms with queen size beds and 1 with a full-size bed, 8 total occupancy.  We love our extended stays, inquire for long term discounts. <br /><br />Come stay with us in exciting Austin, Texas!",107607227,Eric,2016-12-18,"Austin, TX",within an hour,100%,71%,,2.0,78754,30.35965,-97.6642,Entire home,Entire home/apt,8,4.0,4.0,2 baths,$180.00,3,31,f,24,49,79,259,97,3,0,2020-06-07,2025-04-03,4.91,4.96,4.86,4.93,4.93,4.88,4.95,1.51,"[""Private patio or balcony"", ""Coffee"", ""Stove"", ""Bathtub"", ""TV with standard cable"", ""Iron"", ""Wine glasses"", ""Ceiling fan"", ""Private entrance"", ""Single level home"", ""Pets allowed"", ""Dishwasher"", ""Hot water"", ""Shower gel"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Freezer"", ""Self check-in"", ""Dining table"", ""Free parking on premises"", ""Keypad"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Long term stays allowed"", ""Baking sheet"", ""Oven"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Essentials"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Exterior security cameras on property"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Paid street parking off premises"", ""Shampoo"", ""Body soap"", ""Extra pillows and blankets"", ""Coffee maker"", ""Toaster"", ""Carbon monoxide alarm"", ""Free street parking"", ""Microwave"", ""Kitchen"", ""Backyard"", ""Hangers""]"
44334720,https://www.airbnb.com/rooms/44334720,"Kasa | 1BD, Walk to South Congress Bridge | Austin","Conveniently located in Downtown Austin, our Kasas are close to a number of trendy restaurants and fun attractions. Pose with the statue of Stevie Ray Vaughan, listen to live music, visit the Statesman Bat Observation Center, and make sure you get a souvenir from South Congress Street. Our tech-enabled apartments offer self check-in at 4 pm, 24/7 guest support by text, phone, or chat, and a Virtual Front Desk accessed via mobile device.",88566861,Kasa,2016-08-07,"San Francisco, CA",within an hour,100%,98%,f,272.0,78701,30.26626,-97.7474,Entire rental unit,Entire home/apt,4,1.0,2.0,1 bath,$251.00,1,1125,t,29,59,89,299,1258,136,16,2020-07-27,2025-09-14,4.65,4.74,4.73,4.6,4.77,4.94,4.62,20.09,"[""Stove"", ""First aid kit"", ""Bathtub"", ""Iron"", ""Private entrance"", ""Pets allowed"", ""Smart lock"", ""Dishwasher"", ""Hot water"", ""Dishes and silverware"", ""Refrigerator"", ""Self check-in"", ""EV charger"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Cooking basics"", ""TV"", ""Long term stays allowed"", ""Patio or balcony"", ""Oven"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Essentials"", ""Paid parking on premises \u2013 1 space"", ""Air conditioning"", ""Dedicated workspace"", ""Elevator"", ""Fire extinguisher"", ""BBQ grill"", ""Shampoo"", ""Gym"", ""Coffee maker"", ""Pool"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Hangers"", ""Noise decibel monitors on property""]"
44503482,https://www.airbnb.com/rooms/44503482,Stylish ATX Condo | Close to SoCo | KING Bed | W/D,"Remarkably clean and comfortable 1/1 condo  in beautiful South Austin is perfect for an extended stay.<br /><br />★ King Bed <br />★ Dedicated workspace <br />★ 2-in-1 W/D <br /><br /><br />The area is quickly becoming the next hot spot-fantastic coffee shops, bars, restaurants & breweries popping up! <br /><br />★ 4 min to Radio Coffee & Beer <br />★ 7 min to Little Darlin<br />★ 7 min to Cosmic Coffee <br />★ 10 min to South Congress<br />★ 13 min to Rainey Street<br />★ 14 min to Zilker Park (ACL) and Barton Springs Pool<br />★ 15 min to Airport.",17571720,Lauren,2014-07-02,"Austin, TX",within an hour,100%,100%,,8.0,78745,30.21546,-97.7928,Entire condo,Entire home/apt,2,1.0,1.0,1 bath,$83.00,28,365,f,0,6,36,216,33,2,1,2020-10-18,2025-09-03,4.88,4.82,4.88,4.97,5.0,4.76,4.85,0.55,"[""Coffee"", ""Cleaning available during stay"", ""Cleaning products"", ""Bathtub"", ""Wine glasses"", ""Iron"", ""Blender"", ""Ceiling fan"", ""Private entrance"", ""Shared backyard \u2013 Not fully fenced"", ""Single level home"", ""Dishwasher"", ""Pets allowed"", ""Smart lock"", ""Hot water"", ""Shower gel"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Clothing storage: closet"", ""40 inch TV"", ""Freezer"", ""Dining table"", ""Self check-in"", ""Portable fans"", ""Wifi"", ""Drying rack for clothing"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Cooking basics"", ""Long term stays allowed"", ""Baking sheet"", ""Central air conditioning"", ""Oven"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Exercise equipment"", ""Free parking on premises \u2013 1 space"", ""Dr. Bonner's body soap"", ""Essentials"", ""Ethernet connection"", ""Electric stove"", ""Books and reading material"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Fire extinguisher"", ""Shampoo"", ""Extra pillows and blankets"", ""Coffee maker"", ""Free street parking"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Microwave"", ""Kitchen"", ""Board games"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Window guards""]"
45070243,https://www.airbnb.com/rooms/45070243,East Austin Zen Retreat 1 room of 3,"Newly constructed, modern architecture with zen garden. East Austin Urban Retreat sleeps up to 7, across the street from UFCU Disch-Falk Field, a central hub 5 minutes from downtown,  WALKING DISTANCE to UT campus, >1 mi. Dell Seton Medical School, 2 shared courtyards, enjoy coffee shops, Austin eateries and live music down the block, famous for BBQ and Mexican food. This is an all female condo as there is already a female renter. June 2025-August 15, 2025, full bedroom and loft space vacant.",125567573,Althea,2017-04-12,"Houston, TX",within a few hours,100%,50%,f,1.0,78702,30.27819,-97.72271,Private room in condo,Private room,1,2.0,4.0,1.5 shared baths,$37.00,30,130,f,0,0,0,170,1,0,0,2024-07-18,2024-07-18,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.07,"[""Private patio or balcony"", ""Coffee"", ""Stove"", ""Cleaning available during stay"", ""Cleaning products"", ""First aid kit"", ""Bathtub"", ""Wine glasses"", ""Iron"", ""Blender"", ""Ceiling fan"", ""Private entrance"", ""Outdoor furniture"", ""Dishwasher"", ""Lake view"", ""Hot water"", ""Shower gel"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Freezer"", ""Self check-in"", ""City skyline view"", ""Dining table"", ""Free parking on premises"", ""Keypad"", ""Wifi"", ""Rice maker"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Cooking basics"", ""TV"", ""Long term stays allowed"", ""Stainless steel single oven"", ""Baking sheet"", ""Bread maker"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Essentials"", ""Sun loungers"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Exterior security cameras on property"", ""Clothing storage: walk-in closet, closet, and dresser"", ""Dedicated workspace"", ""Fire extinguisher"", ""Coffee maker: Keurig coffee machine"", ""Shampoo"", ""Body soap"", ""Extra pillows and blankets"", ""Toaster"", ""Free street parking"", ""Garden view"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Hangers""]"
45221683,https://www.airbnb.com/rooms/45221683,"Multi-property bungalow, W/ cowboy pool/hot tub!","Double bungalow property, nestled in the highly sought after central Austin, all for you! Two separate houses located on one property plus a studio to act as your office/game room. Giant beautiful yard, equipped with games, fire pit, cowboy pool/hot tub, and a  BBQ grill making it the perfect place to relax or get your game on. Walk or bike to everything central Austin has to offer or catch a ride 3 miles to downtown Austin.",21527828,Casey,2014-09-19,"Austin, TX",within an hour,100%,100%,t,1.0,78731,30.32093,-97.75345,Entire bungalow,Entire home/apt,10,4.0,5.0,3 baths,$260.00,2,365,t,19,44,70,340,123,32,4,2021-01-12,2025-09-14,4.87,4.86,4.68,4.96,4.98,4.92,4.84,2.16,"[""Private patio or balcony"", ""Coffee"", ""Cleaning products"", ""First aid kit"", ""Stainless steel oven"", ""Bathtub"", ""Wine glasses"", ""Iron"", ""Blender"", ""Ceiling fan"", ""Private entrance"", ""Outdoor furniture"", ""Single level home"", ""Dishwasher"", ""Pets allowed"", ""Hot water"", ""Shower gel"", ""60 inch HDTV with premium cable"", ""Private gym in building"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Freezer"", ""Self check-in"", ""Dining table"", ""Free parking on premises"", ""Keypad"", ""Portable fans"", ""Clothing storage: closet, wardrobe, and dresser"", ""Drying rack for clothing"", ""Wifi"", ""Outdoor dining area"", ""Heating"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Cooking basics"", ""Stainless steel gas stove"", ""Long term stays allowed"", ""Baking sheet"", ""Central air conditioning"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""SONOS Bluetooth sound system"", ""Exercise equipment"", ""Essentials"", ""Ethernet connection"", ""Dedicated workspace"", ""Fire extinguisher"", ""Coffee maker: Keurig coffee machine"", ""Barbecue utensils"", ""Fire pit"", ""BBQ grill"", ""Crib"", ""Shampoo"", ""Private hot tub - available all year, open 24 hours"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Body soap"", ""Extra pillows and blankets"", ""Toaster"", ""Private backyard \u2013 Fully fenced"", ""Carbon monoxide alarm"", ""Free street parking"", ""Microwave"", ""Kitchen"", ""Board games"", ""Hangers"", ""Private outdoor pool - available all year, open 24 hours, heated, pool cover, pool toys"", ""Standalone high chair - always at the listing"", ""Free dryer \u2013 In unit""]"
46485666,https://www.airbnb.com/rooms/46485666,"Kasa | ATX 1BD, Lady Bird Lake | Austin","Situated in bustling downtown Austin, Kasa Ladybird Lake boasts an ideal location. You’ll never miss a beat staying close to attractions such as Mt. Bonnell, the Rainey Street District, and some of ATX's finest culinary establishments. Adjacent to the Austin Convention Center, this Kasa is perfect for your stay - business or pleasure! Our tech-enabled apartments offer self check-in at 4pm, 24/7 guest support by text, phone, or chat, and a Virtual Front Desk accessed via mobile device.",88566861,Kasa,2016-08-07,"San Francisco, CA",within an hour,100%,98%,f,272.0,78701,30.26391,-97.74114,Entire rental unit,Entire home/apt,4,1.0,2.0,1 bath,$780.00,1,1125,t,25,55,85,295,348,61,9,2020-11-27,2025-09-10,4.7,4.75,4.78,4.73,4.73,4.94,4.54,5.95,"[""Stove"", ""First aid kit"", ""Bathtub"", ""Iron"", ""Private entrance"", ""Pets allowed"", ""Dishwasher"", ""Hot water"", ""Dishes and silverware"", ""Refrigerator"", ""Self check-in"", ""EV charger"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""TV"", ""Long term stays allowed"", ""Patio or balcony"", ""Oven"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Essentials"", ""Building staff"", ""Air conditioning"", ""Pack \u2019n play/Travel crib - available upon request"", ""Dedicated workspace"", ""Elevator"", ""Fire extinguisher"", ""BBQ grill"", ""Shampoo"", ""Gym"", ""Coffee maker"", ""Pool"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Hangers"", ""Noise decibel monitors on property""]"
48185394,https://www.airbnb.com/rooms/48185394,Easy to South Congress + Fenced yard for Pup!,"Washer, Dryer, King Bed, Queen Bed, Fenced Backyard for Pups- Ideal for any stay, we are an easy access to South Congress and Downtown, and on the Eastside- So getting to anything the city has to offer is convenient. Traveling nurses, this is directly in between Hospital areas for on call work!",43804879,Brandon,2015-09-09,"Austin, TX",within an hour,90%,100%,t,1.0,78741,30.22926,-97.73521,Entire home,Entire home/apt,4,2.0,2.0,1 bath,$94.00,3,1125,t,13,20,38,301,115,38,2,2021-04-25,2025-09-14,4.94,4.97,4.96,4.99,4.97,4.65,4.89,2.15,"[""Coffee"", ""Stove"", ""Cleaning available during stay"", ""Cleaning products"", ""Stainless steel oven"", ""Wine glasses"", ""Iron"", ""Private entrance"", ""Ceiling fan"", ""Single level home"", ""Outdoor furniture"", ""Pets allowed"", ""Dishwasher"", ""Smart lock"", ""Hot water"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Freezer"", ""Self check-in"", ""Dining table"", ""Free parking on premises"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Room-darkening shades"", ""HDTV with Netflix, Amazon Prime Video, Hulu, Apple TV, Roku"", ""Bed linens"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Cooking basics"", ""Outdoor dining area"", ""Long term stays allowed"", ""Baking sheet"", ""Central air conditioning"", ""Patio or balcony"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Essentials"", ""Indoor fireplace"", ""Dedicated workspace"", ""Fire extinguisher"", ""Barbecue utensils"", ""Shampoo"", ""Body soap"", ""Breakfast"", ""Extra pillows and blankets"", ""Coffee maker"", ""Toaster"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Microwave"", ""Kitchen"", ""Board games"", ""Hangers""]"
48867583,https://www.airbnb.com/rooms/48867583,Close to UT Austin + Rooftop Pool. Bar. Dining.,"Stay in the heart of Austin’s music district at Hotel Indigo Downtown – University. Just steps from Stubb’s BBQ, 6th Street, and Red River’s iconic venues, this vibrant stay features a rooftop pool, lively bar, and modern rooms with city views. Walk to UT, grab tacos nearby, and catch a live show without ever needing a car. With free Wi-Fi, a 24/7 gym, and bold local style, this stay puts you close to the action with just the right amount of chill.",386381014,Indigo Austin,2021-01-28,"Austin, TX",within an hour,100%,100%,t,2.0,78701,30.26869,-97.73756,Room in hotel,Private room,2,1.0,1.0,1 private bath,$206.00,1,365,t,10,30,59,142,1271,396,8,2021-04-05,2025-09-01,4.76,4.8,4.86,4.84,4.81,4.75,4.67,23.44,"[""Iron"", ""Pets allowed"", ""Refrigerator"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Paid parking off premises"", ""Bed linens"", ""TV"", ""Smoke alarm"", ""Essentials"", ""Host greets you"", ""Safe"", ""Air conditioning"", ""Dedicated workspace"", ""Elevator"", ""Shampoo"", ""Body soap"", ""Gym"", ""Coffee maker"", ""Pool""]"
48951298,https://www.airbnb.com/rooms/48951298,"Stylish, Chic 8 Beds home with private patio!","Welcome to your ultimate Austin getaway!<br /><br />This spacious 4-bedroom, 2-bathroom home comfortably accommodates up to 13 guests, making it perfect for large groups.<br /><br />Ideally located just 2 miles from vibrant Mueller, 4 miles from the University of Texas, and 6 miles from downtown Austin, this property provides easy access to the city’s top attractions.<br /><br />Enjoy amenities like high ceilings, a large dining table, a charcoal grill, a covered patio, a 65” TV, Foosball, lounge chairs, and beautiful trees.",499072196,Lisa,2023-02-01,"Austin, TX",within an hour,100%,98%,t,21.0,78723,30.30698,-97.67591,Entire home,Entire home/apt,13,3.0,8.0,2 baths,$153.00,2,1125,f,0,0,0,59,184,27,0,2021-04-22,2025-06-01,4.88,4.87,4.86,4.97,4.91,4.76,4.87,3.43,"[""Private patio or balcony"", ""Coffee"", ""Cleaning available during stay"", ""Cleaning products"", ""First aid kit"", ""Bathtub"", ""Wine glasses"", ""Iron"", ""Blender"", ""Ceiling fan"", ""Private entrance"", ""Outdoor furniture"", ""Single level home"", ""Dishwasher"", ""Pets allowed"", ""High chair"", ""Hot water"", ""Shower gel"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""65 inch HDTV with standard cable"", ""Freezer"", ""Self check-in"", ""Dining table"", ""Free parking on premises"", ""Keypad"", ""Portable fans"", ""Wifi"", ""Hot water kettle"", ""Heating"", ""Hair dryer"", ""Room-darkening shades"", ""Coffee maker: pour-over coffee"", ""Bed linens"", ""Outdoor dining area"", ""Cooking basics"", ""Long term stays allowed"", ""Courtyard view"", ""Baking sheet"", ""Central air conditioning"", ""Oven"", ""Pack \u2019n play/Travel crib"", ""Whirlpool stainless steel gas stove"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Essentials"", ""Waterfront"", ""Ethernet connection"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Fire extinguisher"", ""Fire pit"", ""Barbecue utensils"", ""BBQ grill"", ""Shampoo"", ""Body soap"", ""Crib - available upon request"", ""Extra pillows and blankets"", ""Toaster"", ""Private backyard \u2013 Fully fenced"", ""Garden view"", ""Carbon monoxide alarm"", ""Microwave"", ""Free street parking"", ""Kitchen"", ""Hangers"", ""Free dryer \u2013 In unit""]"
49384908,https://www.airbnb.com/rooms/49384908,Cutest  Pet Friendly close to downtown house,"Located in hip east Austin and minutes from downtown ( 6 miles ) Enjoy this entire 660 sqft home with a large yard, two bedrooms and a fully equip kitchen. Three tvs in the house, a desk, and wifi for lounging or working. Pet friendly at no charge ! Please book with accurate guest count so bedding & towels  can be provided accordingly.<br /><br />Additional Fees: <br />Extended stays charge weekly cleaning to enjoy a clean stay.",159236670,Lydia,2017-11-18,,within an hour,100%,99%,t,1.0,78752,30.33458,-97.69555,Entire home,Entire home/apt,4,2.0,3.0,1 bath,$113.00,1,1125,t,14,38,66,242,222,46,2,2021-05-27,2025-08-24,4.86,4.89,4.86,4.96,4.84,4.52,4.78,4.23,"[""Private patio or balcony"", ""Coffee"", ""Cleaning products"", ""First aid kit"", ""Stainless steel oven"", ""Wine glasses"", ""Iron"", ""Free washer \u2013 In building"", ""Ceiling fan"", ""Blender"", ""Private entrance"", ""Outdoor furniture"", ""Dishwasher"", ""Pets allowed"", ""Free driveway parking on premises"", ""Hot water"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Clothing storage: closet"", ""Freezer"", ""Self check-in"", ""Dining table"", ""Keypad"", ""Wifi"", ""Outdoor dining area"", ""Heating"", ""Hair dryer"", ""Bed linens"", ""Gas stove"", ""Cooking basics"", ""TV"", ""Long term stays allowed"", ""Baking sheet"", ""Free dryer \u2013 In building"", ""Smoke alarm"", ""Essentials"", ""Air conditioning"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Coffee maker: Keurig coffee machine"", ""Shampoo"", ""Body soap"", ""Toaster"", ""Free street parking"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Backyard"", ""Hangers""]"
50343685,https://www.airbnb.com/rooms/50343685,El Bungalow Dos ~ Dos Casas Eclectic Eastside ATX,"El Bungalow Dos ~ Fully Furnished, Flexible Term with a 30 day minimum<br /><br />Dos Casas ~ Two Houses side by side.  El Bungalow Uno and Dos are century old bungalows located in the heart of Austin's eclectic East Side district where old meets new.   Tucked away in a quiet residential area, you will be 2 blocks south of Cesar Chavez and 2 blocks north of Lady Bird Lakefront.   Take an evening walk and enjoy the tree-lined Holly neighborhood or stroll on Lady Bird Lake's lush hike and bike trails.",141732877,Mary Jane,2017-07-21,,within a day,100%,,f,2.0,78702,30.25133,-97.71599,Entire bungalow,Entire home/apt,2,1.0,1.0,1 bath,$105.00,30,1125,f,24,54,84,173,2,0,0,2021-11-20,2024-04-03,5.0,5.0,5.0,5.0,5.0,4.5,5.0,0.04,"[""Private patio or balcony"", ""Coffee"", ""Stove"", ""Cleaning products"", ""First aid kit"", ""Wine glasses"", ""TV with standard cable"", ""Iron"", ""Blender"", ""Ceiling fan"", ""Private entrance"", ""Outdoor furniture"", ""Single level home"", ""Hot water"", ""Dishes and silverware"", ""Refrigerator"", ""Clothing storage: closet"", ""Dining table"", ""Free parking on premises"", ""Wifi"", ""Heating"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Cooking basics"", ""Long term stays allowed"", ""Baking sheet"", ""Window AC unit"", ""Oven"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Essentials"", ""Host greets you"", ""Dedicated workspace"", ""Fire extinguisher"", ""Body soap"", ""Extra pillows and blankets"", ""Coffee maker"", ""Toaster"", ""Carbon monoxide alarm"", ""Private backyard \u2013 Fully fenced"", ""Microwave"", ""Free street parking"", ""Kitchen"", ""Hangers""]"
51071925,https://www.airbnb.com/rooms/51071925,1 BR condo in HEART of SOCO! 1 block to action!,"Located just 1 block to Congress and MANY restaurants, shopping, and entertainment.  Comes with free parking at the front door!",3947597,Charles Dean,2012-10-22,"Austin, TX",within an hour,100%,65%,t,6.0,78704,30.2469,-97.75108,Entire guesthouse,Entire home/apt,2,1.0,1.0,1 bath,$100.00,30,365,f,0,0,8,282,22,3,0,2021-11-22,2024-11-17,5.0,5.0,5.0,5.0,5.0,5.0,4.91,0.47,"[""Cleaning products"", ""Stainless steel oven"", ""Bathtub"", ""Wine glasses"", ""Iron"", ""Private entrance"", ""Ceiling fan"", ""Dishwasher"", ""Hot water"", ""Free driveway parking on premises \u2013 1 space"", ""Dishes and silverware"", ""Clothing storage: dresser"", ""Refrigerator"", ""Freezer"", ""EV charger - level 1"", ""Dining table"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""65 inch HDTV"", ""Long term stays allowed"", ""Baking sheet"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Central heating"", ""Essentials"", ""Luggage dropoff allowed"", ""Air conditioning"", ""Dedicated workspace"", ""Stainless steel stove"", ""Coffee maker: Keurig coffee machine"", ""Extra pillows and blankets"", ""Free street parking"", ""Laundromat nearby"", ""Microwave"", ""Kitchen"", ""Hangers"", ""Free dryer \u2013 In unit""]"
51106805,https://www.airbnb.com/rooms/51106805,Cozy private bedroom in Southeast Austin.,"Clean and cozy room with a full-size bed; best for 1 guest (can accommodate 2 for a fee). With a walk-in closet, and an office set-up. Room may be locked with a key. Bathroom is shared with the other room if it's booked (2 guests max). Otherwise, it's all yours. Basic bath necessities are provided. May use microwave, fridge, dining table, silverware, plates, mugs, and glasses in the kitchen. <br /><br />Airport transfers for a fee may be booked.",122610156,Janice,2017-03-26,"Austin, TX",within an hour,100%,87%,t,2.0,78725,30.22972,-97.58354,Private room in home,Private room,2,1.0,1.0,1 shared bath,$55.00,1,1125,f,30,56,86,361,92,9,0,2021-07-23,2025-08-07,4.96,4.99,4.97,4.93,4.99,4.82,4.93,1.82,"[""Iron"", ""Single level home"", ""Free driveway parking on premises"", ""Hot water"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Self check-in"", ""Dining table"", ""Keypad"", ""Portable fans"", ""Wifi"", ""Hair dryer"", ""Bed linens"", ""Long term stays allowed"", ""TV"", ""Central air conditioning"", ""Clothing storage: walk-in closet"", ""Smoke alarm"", ""Central heating"", ""Essentials"", ""Lock on bedroom door"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""Shampoo"", ""Body soap"", ""Extra pillows and blankets"", ""Free street parking"", ""Carbon monoxide alarm"", ""Microwave"", ""Hangers""]"
51492111,https://www.airbnb.com/rooms/51492111,The Backyard Airstream,"Are you looking for an affordable place to stay in South/Central Austin? Are you here for the music scene, great food, or visiting family? Or perhaps you have always wanted to stay in an Airstream? Well here is your chance? I have a cozy spot for two. <br />It is a unique space for you to plant yourself for a few days or even longer. The  the Airstream is located on a quiet cul-de-sac, in my backyard,  just 15 mins from downtown and the airport.<br />Come hang out in my garden in The Backyard Airstream.",202602824,Rose,2018-07-15,"Austin, TX",within an hour,100%,100%,t,2.0,78745,30.22706,-97.80203,Entire guesthouse,Entire home/apt,2,1.0,1.0,1 bath,$73.00,2,1125,t,13,33,63,238,92,17,0,2021-08-22,2025-05-25,4.98,4.99,4.99,5.0,5.0,4.96,4.97,1.86,"[""Coffee"", ""Stove"", ""Cleaning available during stay"", ""Cleaning products"", ""First aid kit"", ""Wine glasses"", ""Iron"", ""Private entrance"", ""Coffee maker: Keurig coffee machine, pour-over coffee"", ""Outdoor furniture"", ""Free driveway parking on premises"", ""Hot water"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Paid washer \u2013 In building"", ""Dining table"", ""Portable fans"", ""Wifi"", ""Hot water kettle"", ""Outdoor dining area"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Hammock"", ""Mini fridge"", ""Portable heater"", ""Smoke alarm"", ""Essentials"", ""Luggage dropoff allowed"", ""Safe"", ""Paid dryer \u2013 In building"", ""Air conditioning"", ""Exterior security cameras on property"", ""Fire extinguisher"", ""Fire pit"", ""Barbecue utensils"", ""Shampoo"", ""15 inch HDTV with Netflix"", ""Body soap"", ""Sound system with aux"", ""Extra pillows and blankets"", ""Private backyard \u2013 Fully fenced"", ""Carbon monoxide alarm"", ""BBQ grill: gas"", ""Microwave"", ""Free street parking"", ""Kitchen"", ""Hangers"", ""Shared patio or balcony"", ""Radiant heating""]"
52510855,https://www.airbnb.com/rooms/52510855,Gay Modern Guest House - Pool Hot Tub - Central,"Very unusual open guest house studio in fantastic central Austin location.<br /><br />Pool with swim current.  Great hot tub.<br /><br />Gay friendly neighborhood.   Gay owners. <br /><br />EV charger.<br /><br />13 foot ceilings, concrete floors.  Great outdoor space.   Was formerly a potters studio. Exceptionally quiet, very thick walls.<br /><br />Clarksville is an eclectic central Austin neighborhood five minutes from downtown.  Great neighborhood restaurants, coffee, grocery a block away.<br /><br />Nothing quite like this in Austin.",425019452,Brian M,2021-09-28,"Austin, TX",within an hour,100%,93%,t,18.0,78703,30.28163146972656,-97.76100158691406,Tiny home,Entire home/apt,4,0.0,4.0,1 bath,$130.00,30,365,f,30,60,90,364,18,3,0,2021-12-23,2025-02-25,5.0,5.0,4.94,5.0,5.0,5.0,4.78,0.4,"[""Coffee"", ""Cleaning available during stay"", ""Stainless steel oven"", ""Wine glasses"", ""Shared backyard \u2013 Not fully fenced"", ""Iron"", ""Private entrance"", ""Ceiling fan"", ""Single level home"", ""Outdoor furniture"", ""Pets allowed"", ""Dishwasher"", ""Smart lock"", ""Hot water"", ""Free driveway parking on premises \u2013 1 space"", ""Dishes and silverware"", ""Conditioner"", ""Refrigerator"", ""Freezer"", ""Self check-in"", ""Dining table"", ""Portable fans"", ""Wifi"", ""Hot water kettle"", ""Hair dryer"", ""Room-darkening shades"", ""Bed linens"", ""Gas stove"", ""Long term stays allowed"", ""Baking sheet"", ""Central air conditioning"", ""Clothing storage: walk-in closet"", ""Smoke alarm"", ""Free washer \u2013 In unit"", ""Central heating"", ""Essentials"", ""Ethernet connection"", ""Luggage dropoff allowed"", ""Exterior security cameras on property"", ""Dedicated workspace"", ""48 inch HDTV with HBO Max, Netflix, premium cable"", ""Fire extinguisher"", ""Coffee maker: Keurig coffee machine"", ""Barbecue utensils"", ""Shampoo"", ""EV charger - level 2"", ""Body soap"", ""Extra pillows and blankets"", ""Toaster"", ""Free street parking"", ""Carbon monoxide alarm"", ""Microwave"", ""Kitchen"", ""Hangers"", ""Shared patio or balcony"", ""Free dryer \u2013 In unit""]"
